"account","sourceRows","exact","selectedRow","matchingFields","conflictingFields","proposal"
"2212","1086|1087","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"2382","1094|1095","false","","sourceCrs|sectionCode|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|installationYear|elevationM","Revisar manualmente; existen valores contradictorios."
"1352","1120|1920","false","","sourceCrs|sectionCode|installationAngleDeg|flowLps","sourceX|sourceY|installationYear|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1074","1183|1919","false","","sourceCrs|sectionCode|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|installationYear|elevationM","Revisar manualmente; existen valores contradictorios."
"410","1217|1218","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg","sourceX|sourceY|elevationM|outletCount|flowLps","Revisar manualmente; existen valores contradictorios."
"462","1222|1265","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"446","1233|1234","false","","sourceCrs|sectionCode|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|installationYear|elevationM","Revisar manualmente; existen valores contradictorios."
"833","1246|1247","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"836","1257|1258","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"472","1278|1279","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"480","1282|1283","false","","sourceCrs|sectionCode|installationAngleDeg|outletCount","sourceX|sourceY|installationYear|elevationM|flowLps","Revisar manualmente; existen valores contradictorios."
"576","1288|1289","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"649","1291|1292","false","","sourceCrs|sectionCode|installationAngleDeg|outletCount","sourceX|sourceY|elevationM|flowLps","Revisar manualmente; existen valores contradictorios."
"477","1315|1334","false","","sourceCrs|sectionCode|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|installationYear|elevationM","Revisar manualmente; existen valores contradictorios."
"390","1325|1326","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg","sourceX|sourceY|elevationM|outletCount|flowLps","Revisar manualmente; existen valores contradictorios."
"679","1346|1389","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"719","1355|1357","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"705","1372|1373","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"645","1376|1377","false","","sourceCrs|sectionCode|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"676","1379|1380","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"706","1381|1382","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1661","1889|1950|1957","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1670","1890|1954","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1764","1899|1956","false","","sourceCrs|sectionCode|installationYear|flowLps","sourceX|sourceY|installationAngleDeg|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
